Stimulus,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates,CID,MolecularWeight,IsomericSMILES,IUPACName,name
7351,1.12494,0.0,0.5,0.0,0.47,3.885,1.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7351,144.21,CC(C)COC(=O)C(C)C,2-methylpropyl 2-methylpropanoate,isobutyl isobutyrate
7353,1.65758,0.01,0.53,0.0,0.47,4.068,1.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7353,144.21,CCCCOC(=O)C(C)C,butyl 2-methylpropanoate,butyl isobutyrate
7358,1.155,0.231,0.39,0.37,0.48,3.523,1.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,7358,102.17,CCC(CC)CO,2-ethylbutan-1-ol,2-ethyl-1-butanol
7406,1.3799066666666668,0.602,0.49,0.0,0.16,4.084,1.1391,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,1.0,2,7406,120.19,CC(C)C1=CC=CC=C1,cumene,cumene
7407,1.284,0.85,0.64,0.0,0.21,4.656,1.0961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7407,118.18,CC(=C)C1=CC=CC=C1,prop-1-en-2-ylbenzene,alpha-methylstyrene
7410,0.523,0.818,1.01,0.0,0.48,4.501,1.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
7461,-0.992,0.497,0.32,0.0,0.2,4.815,1.323,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,7461,136.23,CC1=CCC(=CC1)C(C)C,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene",gamma-terpinene
7462,-0.152,0.526,0.25,0.0,0.15,4.715,1.323,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,7462,136.23,CC1=CC=C(CC1)C(C)C,"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",alpha-terpinene
7463,-0.121,0.607,0.49,0.0,0.19,4.59,1.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,7463,134.22,CC1=CC=C(C=C1)C(C)C,1-methyl-4-propan-2-ylbenzene,p-cymene
7500,0.5765166666666667,0.613,0.51,0.0,0.15,3.778,0.9982,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.333333333333333,0.3333333333333333,2,7500,106.16,CCC1=CC=CC=C1,ethylbenzene,ethylbenzene
7501,1.3784649999999998,0.849,0.65,0.0,0.16,3.856,0.9552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,1,7501,104.15,C=CC1=CC=CC=C1,styrene,styrene
7525,1.096,0.42,0.38,0.0,0.82,3.76,1.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,7525,115.17,CCN1CCOCC1,4-ethylmorpholine,4-ethylmorpholine
7635,1.0,0.03,0.57,0.0,0.47,5.025,1.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,7635,172.26,CCCCC(CC)COC(=O)C,2-ethylhexyl acetate,2-ethylhexyl acetate
7668,0.97511,0.604,0.5,0.0,0.15,4.23,1.1391,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1,7668,120.19,CCCC1=CC=CC=C1,propylbenzene,propylbenzene
7705,1.3501933333333334,0.6,0.51,0.0,0.15,4.73,1.28,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.333333333333333,1.0,2,7705,134.22,CCCCC1=CC=CC=C1,butylbenzene,butylbenzene
7720,1.125,0.209,0.39,0.37,0.48,4.433,1.2945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7720,130.23,CCCCC(CC)CO,2-ethylhexan-1-ol,2-ethylhexan-1-ol
7728,2.222,0.639,0.71,0.0,0.57,4.467,1.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,7728,121.18,CCC1=CN=C(C=C1)C,5-ethyl-2-methylpyridine,5-ethyl-2-methylpyridine
7734,3.40894,0.645,0.5,0.0,0.18,4.732,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7734,134.22,CCC1=CC=C(C=C1)CC,"1,4-diethylbenzene","1,4-diethylbenzene"
7745,1.62,0.211,0.39,0.31,0.56,3.471,1.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7745,102.17,CCCC(C)CO,2-methylpentan-1-ol,2-methyl-1-pentanol
7749,2.1549,0.087,0.58,0.0,0.45,2.807,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7749,102.13,CCC(=O)OCC,ethyl propanoate,ethyl propionate
7758,1.024895,0.044,0.57,0.0,0.47,3.054,1.0284,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1,7758,116.16,CCC(C)OC(=O)C,butan-2-yl acetate,sec-butyl acetate
7770,1.95861,0.05,0.56,0.0,0.45,3.783,1.1693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7770,130.18,CCCC(=O)OCCC,propyl butanoate,propyl butyrate
7803,1.23657,0.07,0.56,0.0,0.45,3.338,1.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7803,116.16,CCCOC(=O)CC,propyl propanoate,propyl propionate
7809,1.23657,0.613,0.52,0.0,0.16,3.839,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7809,106.16,CC1=CC=C(C=C1)C,"1,4-xylene",p-xylene
7819,3.04576,0.156,0.59,0.0,0.42,3.6,1.1263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7819,128.17,CC(C)COC(=O)C=C,2-methylpropyl prop-2-enoate,isobutyl acrylate
7834,1.155,0.222,0.56,0.03,0.35,2.226,0.6223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7834,72.11,CCC1CO1,2-ethyloxirane,"1,2-epoxybutane"
7844,0.4437,0.1,0.08,0.0,0.07,1.529,0.6292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7844,56.11,CCC=C,but-1-ene,1-butene
7845,0.492635,0.32,0.23,0.0,0.1,1.543,0.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,7845,54.09,C=CC=C,"buta-1,3-diene","1,3-butadiene"
7847,2.4437,0.324,0.61,0.0,0.46,1.7569,0.504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7847,56.06,C=CC=O,prop-2-enal,acrolein
7848,4.88606,0.385,0.42,0.0,0.21,2.5982,0.6948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7848,76.16,CCCS,propane-1-thiol,1-propanethiol
7852,1.21467,0.225,0.35,0.16,0.61,2.141,0.6311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7852,59.11,CCCN,propan-1-amine,propylamine
7855,-0.94448,0.297,0.83,0.03,0.3,1.9951,0.5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7855,53.06,C=CC#N,prop-2-enenitrile,acrylonitrile
7892,-0.8451,0.0,0.0,0.0,0.0,2.503,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7892,86.18,CCCC(C)C,2-methylpentane,2-methylpentane
7895,0.5409466666666667,0.143,0.68,0.0,0.51,2.7550000000000003,0.8287999999999999,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.333333333333333,0.0,2,7895,86.13,CCCC(=O)C,pentan-2-one,2-pentanone
7904,0.921,0.223,0.64,0.0,0.43,2.152,0.7036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7904,86.09,CC(=O)OC=C,ethenyl acetate,vinyl acetate
7907,0.02687,0.0,0.0,0.0,0.0,2.809,1.0949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7907,100.2,CC(C)CC(C)C,"2,4-dimethylpentane","2,4-dimethylpentane"
7909,0.884775,0.111,0.65,0.0,0.51,3.089,0.9697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,7909,100.16,CC(C)CC(=O)C,4-methylpentan-2-one,4-methyl-2-pentanone
7912,0.886,0.053,0.21,0.07,0.74,2.893,1.0538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,7912,101.19,CC(C)NC(C)C,N-propan-2-ylpropan-2-amine,diisopropylamine
7914,1.77,-0.063,0.17,0.0,0.57,2.501,1.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7914,102.17,CC(C)OC(C)C,2-propan-2-yloxypropane,diisopropyl ether
7915,0.55294,0.055,0.57,0.0,0.47,2.546,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,7915,102.13,CC(C)OC(=O)C,propan-2-yl acetate,isopropyl acetate
7929,1.38722,0.623,0.52,0.0,0.16,3.839,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7929,106.16,CC1=CC(=CC=C1)C,"1,3-xylene",m-xylene
7947,0.76955,0.649,0.52,0.0,0.19,4.344,1.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7947,120.19,CC1=CC(=CC(=C1)C)C,"1,3,5-trimethylbenzene",mesitylene
7957,-0.157,0.116,0.3,0.33,0.67,4.66,1.4354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,7957,144.25,CC(C)CC(CC(C)C)O,"2,6-dimethylheptan-4-ol","2,6-dimethylheptan-4-ol"
7962,0.82391,0.244,0.06,0.0,0.0,3.319,0.9863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7962,98.19,CC1CCCCC1,methylcyclohexane,methylcyclohexane
7964,-1.1,0.718,0.65,0.0,0.07,3.657,0.8388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,7964,112.55,C1=CC=C(C=C1)Cl,chlorobenzene,chlorobenzene
7967,0.921,0.403,0.86,0.0,0.56,3.792,0.8611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7967,98.14,C1CCC(=O)CC1,cyclohexanone,cyclohexanone
7975,1.854,0.598,0.75,0.0,0.58,3.422,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,7975,93.13,CC1=CC=CC=N1,2-methylpyridine,2-methylpyridine
7981,1.92082,0.033,0.56,0.0,0.45,4.794,1.4511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7981,158.24,CCCCOC(=O)CC(C)C,butyl 3-methylbutanoate,butyl isovalerate
