Modifiers,Raw Descriptors,Stimulus,balsamic,camphoraceous,citrus,floral,fruity,grass,herbaceous,mint,rose,spicy,sweet,CID,MolecularWeight,IsomericSMILES,IUPACName,name
,spicy aroma,7768,0,0,0,0,0,0,0,0,0,1,0,7768,113.16,C1CCC(=O)NCC1,azepan-2-one,azepan-2-one
,floral,7778,0,0,0,1,0,0,0,0,0,0,0,7778,184.27,CC(CCC=C(C)C)CCOC=O,"3,7-dimethyloct-6-enyl formate",citronellyl formate
,Floral,7780,0,0,0,1,0,0,0,0,0,0,0,7780,196.29,CC(=CCCC(=CCOC(=O)C)C)C,"3,7-dimethylocta-2,6-dienyl acetate","3,7-dimethylocta-2,6-dienyl acetate"
,rose-like,7792,0,0,0,0,0,0,0,0,1,0,0,7792,158.28,CC(C)CCCC(C)CCO,"3,7-dimethyloctan-1-ol","3,7-dimethyloctan-1-ol"
, sweet floral lily,7888,0,0,0,1,0,0,0,0,0,0,1,7888,172.26,CC(CCCC(C)(C)O)CC=O,"7-hydroxy-3,7-dimethyloctanal",hydroxycitronellal
,mint,7967,0,0,0,0,0,0,0,1,0,0,0,7967,98.14,C1CCC(=O)CC1,cyclohexanone,cyclohexanone
,fruity,7981,0,0,0,0,1,0,0,0,0,0,0,7981,158.24,CCCCOC(=O)CC(C)C,butyl 3-methylbutanoate,butyl isovalerate
,floral aroma??????,7983,0,0,0,1,0,0,0,0,0,0,0,7983,144.21,CCCCOC(=O)CCC,butyl butanoate,butyl butyrate
,fruity,7986,0,0,0,0,1,0,0,0,0,0,0,7986,314.5,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,dibutyl decanedioate,dibutyl sebacate
,fruity,8012,0,0,0,0,1,0,0,0,0,0,0,8012,90.19,CCCCS,butane-1-thiol,1-butanethiol
,winey-fruity,8049,0,0,0,0,1,0,0,0,0,0,0,8049,258.35,CCOC(=O)CCCCCCCCC(=O)OCC,diethyl decanedioate,diethyl decanedioate
,spice,8051,0,0,0,0,0,0,0,0,0,1,0,8051,114.19,CCCCCC(=O)C,heptan-2-one,2-heptanone
,grass,8129,0,0,0,0,0,1,0,0,0,0,0,8129,116.2,CCCCCCCO,heptan-1-ol,1-heptanol
,citrus,8130,0,0,1,0,0,0,0,0,0,0,0,8130,114.19,CCCCCCC=O,heptanal,heptanal
,Flower,8139,0,0,0,1,0,0,0,0,0,0,0,8139,214.34,CCCCCCCCCCCC(=O)OC,methyl dodecanoate,methyl laurate
,orange-rose odour,8167,0,0,0,0,0,0,0,0,1,0,0,8167,200.32,CCCCCCCCCCOC(=O)C,decyl acetate,decyl acetate
,fruity,8174,0,0,0,0,1,0,0,0,0,0,0,8174,158.28,CCCCCCCCCCO,decan-1-ol,1-decanol
,citrus-rose aroma,8205,0,0,1,0,0,0,0,0,1,0,0,8205,228.37,CCCCCCCCCCCCOC(=O)C,dodecyl acetate,dodecyl acetate
,sweet,8283,0,0,0,0,0,0,0,0,0,0,1,8283,220.35,CC(=CCCC1(C2CC3C1(C3C2)C)C)CO,"5-(2,3-dimethyl-3-tricyclo[2.2.1.02,6]heptanyl)-2-methylpent-2-en-1-ol",115-71-9
,fruity,8294,0,0,0,0,1,0,0,0,0,0,0,8294,196.29,CC(=CCCC(C)(C=C)OC(=O)C)C,"3,7-dimethylocta-1,6-dien-3-yl acetate",linalyl acetate
,sweet-caramellic,8299,0,0,0,0,0,0,0,0,0,0,1,8299,74.08,CC(=O)CO,1-hydroxypropan-2-one,hydroxyacetone
,grass,8314,0,0,0,0,0,1,0,0,0,0,0,8314,102.13,CCC(C)C(=O)O,2-methylbutanoic acid,2-methylbutanoic acid
,Flower,8363,0,0,0,1,0,0,0,0,0,0,0,8363,228.24,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,benzyl 2-hydroxybenzoate,benzyl salicylate
,balsamic,8400,1,0,0,0,0,0,0,0,0,0,0,8400,212.24,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,"2-hydroxy-1,2-diphenylethanone",benzoin
,herbaceous,8405,0,0,0,0,0,0,1,0,0,0,0,8405,129.16,C1=CC=C2C=NC=CC2=C1,isoquinoline,isoquinoline
,minty aroma??,8452,0,0,0,0,0,0,0,1,0,0,0,8452,84.12,C1CCC(=O)C1,cyclopentanone,cyclopentanone
